[2022-11-09 17:03:32] [INFO    ] discord.client: logging in using static token
[2022-11-09 17:03:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2022-11-09 17:03:32] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (c7e5ec5cd97f5f5d9052ac16f420004c).
[2022-11-09 17:03:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1039344351454711888', 'username': 'RABBOT', 'avatar': 'fb82d1df6b40f2a88782ef4d62acd203', 'avatar_decoration': None, 'discriminator': '1694', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'banner_color': None, 'accent_color': None, 'bio': '', 'locale': 'en-US', 'mfa_enabled': True, 'premium_type': 0, 'email': None, 'verified': True}
[2022-11-09 17:03:33] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2022-11-09 17:03:33] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (c7e5ec5cd97f5f5d9052ac16f420004c).
[2022-11-09 17:03:33] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1039344351454711888', 'name': 'py-rabbot', 'icon': 'fb82d1df6b40f2a88782ef4d62acd203', 'description': 'A chat bot built with python', 'summary': '', 'type': None, 'hook': True, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['bot'], 'permissions': '3841849289792'}, 'verify_key': '4f149f410d5726349107c208b4dff7ca0f43bbda2b25d998d586307165ebfa1d', 'owner': {'id': '244263489248559104', 'username': 'Gats', 'avatar': 'f48ef375505f98f6922c63ea93ec3ff8', 'avatar_decoration': None, 'discriminator': '9768', 'public_flags': 128, 'flags': 128}, 'flags': 565248, 'team': None}
[2022-11-09 17:03:33] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2022-11-09 17:03:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-rfns",{"micros":0.0}]']}}
[2022-11-09 17:03:33] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2022-11-09 17:03:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2022-11-09 17:03:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'RABBOT', 'mfa_enabled': True, 'id': '1039344351454711888', 'flags': 0, 'email': None, 'discriminator': '1694', 'bot': True, 'avatar': 'fb82d1df6b40f2a88782ef4d62acd203'}, 'session_type': 'normal', 'session_id': '43dcc6cdc04a7a43835274cbd5d8ab22', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '267095251393576963'}, {'unavailable': True, 'id': '1031664857939984494'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['oregon', 'seattle', 'santa-clara', 'us-west', 'us-south'], 'application': {'id': '1039344351454711888', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-c-rfns",{"micros":157988,"calls":["id_created",{"micros":1231,"calls":[]},"session_lookup_time",{"micros":254,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-green-prd-2-206",{"micros":155650,"calls":["start_session",{"micros":84134,"calls":["discord-api-f4975c7c9-prhvt",{"micros":77591,"calls":["get_user",{"micros":29057},"get_guilds",{"micros":10496},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":2516},"authorized_ip_coro",{"micros":15}]}]},"starting_guild_connect",{"micros":51,"calls":[]},"presence_started",{"micros":25170,"calls":[]},"guilds_started",{"micros":144,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":46128,"calls":[]},"connect_finished",{"micros":46132,"calls":[]},"build_ready",{"micros":17,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]},"clean_ready",{"micros":0,"calls":[]}]}]}]']}}
[2022-11-09 17:03:33] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2022-11-09 17:03:33] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 43dcc6cdc04a7a43835274cbd5d8ab22).
[2022-11-09 17:03:33] [DEBUG   ] discord.client: Dispatching event connect
